ExtractionType,EventDescription,Start,End,Duration(s),Text_length,Aligned,EventType
Manually Extracted Event,She reveals her name as Autumn.,1:30:20,1:30:23,3,31,Fail,process
Manually Extracted Event,"The day counter then resets to Day 1, becoming brighter than it ever did during the Days of Summer.",1:30:28,1:30:35,7,100,Success,change_of_state
Machine Learning Extracted Event,The boy peddles with his mother.,0:02:44,0:02:49,5,32,Fail,
Machine Learning Extracted Event,The girl's on a slide.,0:02:45,0:02:51,6,22,Fail,
Machine Learning Extracted Event,"The boy eats cake messily. The girl grins, holding a candle.",0:02:55,0:03:02,7,60,Fail,
Machine Learning Extracted Event,The children smile at the cameras.,0:03:02,0:03:08,6,34,Fail,
Machine Learning Extracted Event,The girl feeds some ducks. The boy rides on a miniature railway.,0:03:06,0:03:13,7,64,Fail,
Machine Learning Extracted Event,"The boy, now older, plays an electric guitar.",0:03:17,0:03:23,6,45,Fail,
Machine Learning Extracted Event,The girl does a cartwheel.,0:03:21,0:03:26,5,26,Fail,
Machine Learning Extracted Event,She waves to the camera,0:03:22,0:03:27,5,23,Fail,
Machine Learning Extracted Event,She makes an origami paper model.,0:03:24,0:03:29,5,33,Fail,
Machine Learning Extracted Event,The boy plays football.,0:03:36,0:03:41,5,23,Fail,
Machine Learning Extracted Event,The girl rides a horse.,0:03:37,0:03:42,5,23,Fail,
Machine Learning Extracted Event,The girl blows on a dandelion.,0:03:45,0:03:50,5,30,Fail,
Machine Learning Extracted Event,The boy plays with bubbles.,0:03:47,0:03:52,5,27,Fail,
Machine Learning Extracted Event,One scrolls forwards to 290.,0:03:58,0:04:04,6,28,Fail,
Machine Learning Extracted Event,A young girl cycles through the city at night.,0:04:00,0:04:06,6,46,Fail,
Machine Learning Extracted Event,The road passes rapidly beneath the bike's wheels.,0:04:05,0:04:11,6,50,Fail,
Machine Learning Extracted Event,"She chains the bike to a post, and wearing a helmet, strides towards the entrance to an apartment building.",0:04:08,0:04:16,8,107,Fail,
Machine Learning Extracted Event,She hurries in.,0:04:15,0:04:20,5,15,Fail,
Machine Learning Extracted Event,Two guys open an apartment door.,0:04:16,0:04:22,6,32,Fail,
Machine Learning Extracted Event,"SOMEONE's in the kitchen, smashing plates on a counter.",0:04:31,0:04:38,7,55,Fail,
Machine Learning Extracted Event,SOMEONE and SOMEONE walk hand in hand.,0:05:07,0:05:13,6,38,Fail,
Machine Learning Extracted Event,They kiss in bed.,0:05:09,0:05:14,5,17,Fail,
Machine Learning Extracted Event,They walk through an Ikea store holding hands.,0:05:10,0:05:16,6,46,Fail,
Machine Learning Extracted Event,They hug in the street and grin at a Ringo Starr record in a shop.,0:05:15,0:05:22,7,66,Fail,
Machine Learning Extracted Event,A waitress brings two plates.,0:06:09,0:06:15,6,29,Fail,
Machine Learning Extracted Event,SOMEONE gets up.,0:06:27,0:06:32,5,16,Fail,
Machine Learning Extracted Event,Back to day one.,0:07:03,0:07:08,5,16,Fail,
Machine Learning Extracted Event,A poster of a child with mothers.,0:07:19,0:07:24,5,33,Fail,
Machine Learning Extracted Event,SOMEONE blinks alluringly.,0:09:16,0:09:22,6,26,Fail,
Machine Learning Extracted Event,"Day three, and she's at work in a vest top.",0:09:18,0:09:25,7,43,Fail,
Machine Learning Extracted Event,SOMEONE goes back to work. Three rolls over to four.,0:09:50,0:09:57,7,52,Fail,
Machine Learning Extracted Event,"Wearing headphones, SOMEONE enters a lift.",0:09:53,0:09:59,6,42,Fail,
Machine Learning Extracted Event,SOMEONE hurries in as well.,0:09:55,0:10:01,6,27,Fail,
Machine Learning Extracted Event,"SOMEONE, in shirt and cardigan with a loosely knotted tie, studiously ignores the dark haired large-eyed SOMEONE.",0:10:06,0:10:15,9,113,Success,
Machine Learning Extracted Event,"SOMEONE stares at her, entranced.",0:10:38,0:10:44,6,33,Success,
Machine Learning Extracted Event,"SOMEONE exits, leaving SOMEONE awestruck.",0:10:44,0:10:50,6,41,Fail,
Machine Learning Extracted Event,Four advances to eight.,0:10:46,0:10:52,6,23,Fail,
Machine Learning Extracted Event,"A sign reads, Happy engagement, SOMEONE.",0:10:48,0:10:54,6,40,Fail,
Machine Learning Extracted Event,SOMEONE's handing out glasses of bubbly. He spots SOMEONE standing alone.,0:10:59,0:11:06,7,73,Fail,
Machine Learning Extracted Event,He hands her a greetings card.,0:12:09,0:12:14,5,30,Fail,
Machine Learning Extracted Event,SOMEONE chokes on his bubbles.,0:12:35,0:12:40,5,30,Fail,
Machine Learning Extracted Event,He nods and wipes wine off his face.,0:12:42,0:12:48,6,36,Fail,
Machine Learning Extracted Event,He stares after her as she walks away through the open plan office.,0:12:49,0:12:56,7,67,Fail,
Machine Learning Extracted Event,He studies her as she sits at her desk,0:12:57,0:13:03,6,38,Fail,
Machine Learning Extracted Event,He sits down at his work station.,0:12:59,0:13:05,6,33,Fail,
Machine Learning Extracted Event,"As he starts a drawing, SOMEONE glances across the office towards him.",0:13:06,0:13:14,8,70,Fail,
Machine Learning Extracted Event,He's drawing a city skyline in pencil.,0:13:11,0:13:17,6,38,Fail,
Machine Learning Extracted Event,There's another drawing of a building in a frame on his desk.,0:13:17,0:13:23,6,61,Fail,
Machine Learning Extracted Event,"With a look of dissatisfaction,",0:13:19,0:13:24,5,31,Fail,
Machine Learning Extracted Event,he rubs out what he's done so far on the new picture.,0:13:21,0:13:27,6,53,Fail,
Machine Learning Extracted Event,He glances around the office then screws up his piece of paper into a ball. 8 jumps to 154.,0:13:28,0:13:37,9,91,Fail,
Machine Learning Extracted Event,SOMEONE's long-haired friend looks worried.,0:14:14,0:14:20,6,43,Fail,
Machine Learning Extracted Event,154 skips back to 11.,0:14:19,0:14:25,6,21,Fail,
Machine Learning Extracted Event,SOMEONE beats him at tennis on the Wii. 11 jumps to 22.,0:14:44,0:14:51,7,55,Fail,
Machine Learning Extracted Event,She blinks in puzzled inquiry.,0:15:52,0:15:57,5,30,Fail,
Machine Learning Extracted Event,His friend and colleague grins as SOMEONE watches SOMEONE walk across the room.,0:16:00,0:16:08,8,79,Fail,
Machine Learning Extracted Event,SOMEONE finds the Smiths on his iTunes.,0:16:04,0:16:10,6,39,Fail,
Machine Learning Extracted Event,"SOMEONE turns the music up as SOMEONE walks across the office to leave work, her handbag over her shoulder.",0:16:18,0:16:26,8,107,Fail,
Machine Learning Extracted Event,He stares at her.,0:16:23,0:16:28,5,17,Fail,
Machine Learning Extracted Event,But she doesn't even glance in his direction.,0:16:25,0:16:30,5,45,Fail,
Machine Learning Extracted Event,"22 jumps to 27. In the office, SOMEONE's friend mimes for him to take off his headset.",0:16:54,0:17:03,9,86,Fail,
Machine Learning Extracted Event,SOMEONE's eyes flick towards SOMEONE.,0:17:28,0:17:34,6,37,Fail,
Machine Learning Extracted Event,Day 27 becomes day 28.,0:17:32,0:17:38,6,22,Fail,
Machine Learning Extracted Event,SOMEONE heads for the pub stage.,0:18:01,0:18:06,5,32,Fail,
Machine Learning Extracted Event,"SOMEONE's friend, Mackenzie, hands him a beer.",0:18:06,0:18:12,6,46,Fail,
Machine Learning Extracted Event,"SOMEONE smiles as she sings, then grabs another couple of beers and chasers from the bar. SOMEONE's sitting in a booth with Mackenzie.",0:18:40,0:18:50,10,134,Fail,
Machine Learning Extracted Event,They study one another.,0:20:41,0:20:46,5,23,Fail,
Machine Learning Extracted Event,"As SOMEONE and SOMEONE try to think, Mackenzie hits the stage.",0:22:22,0:22:28,6,62,Fail,
Machine Learning Extracted Event,He drops the mic and drunkenly downs another shot.,0:22:33,0:22:39,6,50,Fail,
Machine Learning Extracted Event,"Smiling, she looks him in the eye.",0:23:12,0:23:17,5,34,Fail,
Machine Learning Extracted Event,He stares at her.,0:24:01,0:24:05,4,17,Fail,
Machine Learning Extracted Event,She smiles back.,0:24:02,0:24:07,5,16,Fail,
Machine Learning Extracted Event,She gives a casual salute and heads off.,0:24:17,0:24:23,6,40,Fail,
Machine Learning Extracted Event,"He remains, staring after her.",0:24:20,0:24:26,6,30,Fail,
Machine Learning Extracted Event,Standing on the pavement outside the bar.,0:24:24,0:24:30,6,41,Fail,
Machine Learning Extracted Event,SOMEONE turns slowly and walks away.,0:24:26,0:24:32,6,36,Fail,
Machine Learning Extracted Event,Day 28 becomes day 31,0:24:30,0:24:35,5,21,Fail,
Machine Learning Extracted Event,SOMEONE's at the photocopier when SOMEONE walks up.,0:24:32,0:24:38,6,51,Fail,
Machine Learning Extracted Event,She gets on with some copying of her own,0:24:39,0:24:44,5,40,Fail,
Machine Learning Extracted Event,They work side by side.,0:24:41,0:24:46,5,23,Fail,
Machine Learning Extracted Event,"Unsure what to say, SOMEONE half turns toward SOMEONE",0:24:49,0:24:56,7,53,Fail,
Machine Learning Extracted Event,who's just getting on with her copying.,0:24:52,0:24:58,6,39,Fail,
Machine Learning Extracted Event,She moves away from the copier,0:25:02,0:25:07,5,30,Fail,
Machine Learning Extracted Event,and approaches SOMEONE.,0:25:03,0:25:08,5,23,Fail,
Machine Learning Extracted Event,They kiss.,0:25:09,0:25:14,5,10,Success,
Machine Learning Extracted Event,"They hold each other close,",0:25:15,0:25:20,5,27,Success,
Machine Learning Extracted Event,kissing with increasing passion.,0:25:17,0:25:22,5,32,Success,
Machine Learning Extracted Event,SOMEONE turns and walks back to her copying.,0:25:31,0:25:37,6,44,Fail,
Machine Learning Extracted Event,She picks up her file.,0:25:33,0:25:38,5,22,Fail,
Machine Learning Extracted Event,She briefly looks SOMEONE in the eye.,0:25:34,0:25:40,6,37,Fail,
Machine Learning Extracted Event,Then She walks away.,0:25:36,0:25:41,5,20,Fail,
Machine Learning Extracted Event,SOMEONE's thoroughly confused.,0:25:38,0:25:43,5,30,Fail,
Machine Learning Extracted Event,"Later, SOMEONE opens his front door to his long-haired friend, SOMEONE.",0:25:43,0:25:50,7,71,Fail,
Machine Learning Extracted Event,"SOMEONE gasps, realizing SOMEONE's in the apartment.",0:26:14,0:26:20,6,52,Fail,
Machine Learning Extracted Event,SOMEONE nods awkwardly and has no idea what to say.,0:26:27,0:26:34,7,51,Fail,
Machine Learning Extracted Event,"SOMEONE dismisses him with a salute, then turns to SOMEONE.",0:26:41,0:26:48,7,59,Fail,
Machine Learning Extracted Event,SOMEONE drops his head in embarrassment.,0:26:57,0:27:03,6,40,Fail,
Machine Learning Extracted Event,Day 282 and a tap isn't working.,0:27:00,0:27:06,6,32,Success,
Machine Learning Extracted Event,It's a sink in a showroom.,0:27:07,0:27:13,6,26,Success,
Machine Learning Extracted Event,SOMEONE's standing nearby.,0:27:09,0:27:14,5,26,Success,
Machine Learning Extracted Event,"She walks off, unimpressed by his attempt at humor.",0:27:16,0:27:23,7,51,Success,
Machine Learning Extracted Event,282 rewinds to 34.,0:27:19,0:27:25,6,18,Success,
Machine Learning Extracted Event,They're in Ikea.,0:27:31,0:27:35,4,16,Success,
Machine Learning Extracted Event,She grabs a dummy remote from a coffee table and pretends to watch TV.,0:27:44,0:27:51,7,70,Success,
Machine Learning Extracted Event,SOMEONE jumps up from the sofa they've been sitting on and walks off. SOMEONE follows. They arrive at a kitchen display.,0:28:01,0:28:10,9,120,Success,
Machine Learning Extracted Event,"He clowns, sitting at a table",0:28:20,0:28:25,5,29,Success,
Machine Learning Extracted Event,as SOMEONE wanders over to the sink.,0:28:22,0:28:27,5,36,Success,
Machine Learning Extracted Event,He walks through to another display.,0:28:31,0:28:36,5,36,Success,
Machine Learning Extracted Event,She ballets out of the kitchen.,0:28:40,0:28:45,5,31,Success,
Machine Learning Extracted Event,SOMEONE chases her through the huge furniture store.,0:28:42,0:28:49,7,52,Success,
Machine Learning Extracted Event,SOMEONE dives onto a double bed.,0:28:50,0:28:56,6,32,Success,
Machine Learning Extracted Event,SOMEONE crawls on after her,0:28:52,0:28:58,6,27,Success,
Machine Learning Extracted Event,and looks deep into her eyes.,0:28:54,0:29:00,6,29,Success,
Machine Learning Extracted Event,"They look around, slowly.",0:29:10,0:29:16,6,25,Success,
Machine Learning Extracted Event,A whole Chinese family is indeed staring at them from the on-suite bathroom display.,0:29:12,0:29:20,8,84,Success,
Machine Learning Extracted Event,SOMEONE and SOMEONE smile,0:29:17,0:29:22,5,25,Success,
Machine Learning Extracted Event,and the family wanders off glumly.,0:29:18,0:29:24,6,34,Success,
Machine Learning Extracted Event,They face each other on the bed.,0:29:25,0:29:30,5,32,Success,
Machine Learning Extracted Event,She gets up,0:30:22,0:30:27,5,11,Success,
Machine Learning Extracted Event,and he stays thoughtfully on the bed.,0:30:23,0:30:28,5,37,Success,
Machine Learning Extracted Event,"As they wander through Ikea, SOMEONE takes SOMEONE's hand. There are signs on the store wall,""Ikea Stockholm. We don't make fancy quality, we make true every day quality"".",0:30:28,0:30:33,5,171,Success,
Machine Learning Extracted Event,"At night, they tumble, kissing on to the bed.",0:30:42,0:30:48,6,45,Success,
Machine Learning Extracted Event,SOMEONE watches as SOMEONE heads to the bathroom.,0:30:53,0:30:59,6,49,Success,
Machine Learning Extracted Event,SOMEONE comes out of the bathroom and stares. SOMEONE's now naked in his bed.,0:31:19,0:31:27,8,77,Success,
Machine Learning Extracted Event,SOMEONE switches off the bathroom light and approaches the bed.,0:31:29,0:31:34,5,63,Success,
Machine Learning Extracted Event,"In daylight, he walks out of the apartment building with a broad grin on his face.",0:31:34,0:31:42,8,82,Success,
Machine Learning Extracted Event,SOMEONE struts jauntily down the street and everyone who passes smiles at him.,0:31:42,0:31:50,8,78,Success,
Machine Learning Extracted Event,He pauses to check his look in a shop window.,0:31:46,0:31:52,6,45,Success,
Machine Learning Extracted Event,The reflection he sees is Harrison Ford as SOMEONE Solo winking back at him.,0:31:48,0:31:56,8,76,Success,
Machine Learning Extracted Event,A large fountain erupts like watery fireworks.,0:31:55,0:32:02,7,46,Success,
Machine Learning Extracted Event,SOMEONE boogies his way past the display and through a park.,0:31:58,0:32:05,7,60,Success,
Machine Learning Extracted Event,"He cheerfully greets the people he meets, even kissing one woman's hand.",0:32:03,0:32:09,6,72,Success,
Machine Learning Extracted Event,"He daps and slaps with a couple of guys he meets on his sunny walk to work, shakes a lot of hands, and is wreathed in smiles.",0:32:12,0:32:20,8,125,Success,
Machine Learning Extracted Event,He tosses his bag to a woman and starts to dance.,0:32:19,0:32:25,6,49,Success,
Machine Learning Extracted Event,Everyone on the path dances with him and it turns into a routine.,0:32:21,0:32:28,7,65,Success,
Machine Learning Extracted Event,SOMEONE grabs a baseball bat and knocks an imaginary ball out of the park.,0:32:32,0:32:39,7,74,Success,
Machine Learning Extracted Event,He's hoisted shoulder high by his dancing friends.,0:32:36,0:32:42,6,50,Success,
Machine Learning Extracted Event,The large crowd of dancers is joined by a marching band in full colorful military style uniform.,0:32:48,0:32:57,9,96,Success,
Machine Learning Extracted Event,A little cartoon bluebird flits up to SOMEONE and lands on his shoulder.,0:32:57,0:33:04,7,72,Success,
Machine Learning Extracted Event,It hops onto his finger.,0:33:00,0:33:05,5,24,Success,
Machine Learning Extracted Event,He strokes its head and lets it go.,0:33:02,0:33:08,6,35,Success,
Machine Learning Extracted Event,It winks down at him as it flies off.,0:33:04,0:33:10,6,37,Success,
Machine Learning Extracted Event,SOMEONE puts his bag back on.,0:33:07,0:33:12,5,29,Success,
Machine Learning Extracted Event,SOMEONE with a satisfied grin.,0:33:08,0:33:14,6,30,Success,
Machine Learning Extracted Event,He dashes off to work.,0:33:10,0:33:15,5,22,Success,
Machine Learning Extracted Event,He skips happily through the front door and to the lift,0:33:18,0:33:24,6,55,Success,
Machine Learning Extracted Event,He smirking to himself.,0:33:20,0:33:25,5,23,Success,
Machine Learning Extracted Event,"Day 35 rolls forward to day 303, and the lift door opens revealing a despondent, disheveled SOMEONE. He sits hollow-eyed, staring towards the desk where SOMEONE used to sit. His boss has a new assistant with a large afro.",0:33:27,0:33:42,15,221,Fail,
Machine Learning Extracted Event,SOMEONE stares gloomily at Mackenzie.,0:33:48,0:33:54,6,37,Fail,
Machine Learning Extracted Event,Day 303 rolls back to day 45. Mackenzie sees SOMEONE singing on the phone.,0:34:26,0:34:35,9,74,Fail,
Machine Learning Extracted Event,It's day 87 and they're in a DVD and music store. SOMEONE leads Toms through to the adult's only section.,0:35:03,0:35:12,9,105,Success,
Machine Learning Extracted Event,"At home, they're on a sofa watching a DVD called Sweet and Shower.",0:35:11,0:35:18,7,66,Success,
Machine Learning Extracted Event,They're fooling around in the shower.,0:35:27,0:35:32,5,37,Success,
Machine Learning Extracted Event,Day 95.,0:35:32,0:35:37,5,7,Success,
Machine Learning Extracted Event,SOMEONE points up at the city's sculpted stone buildings and at the multi-level Eastern Columbia building with a large clock face and the word Eastern in bold white letters.,0:35:40,0:35:51,11,173,Success,
Machine Learning Extracted Event,They sit on the park bench overlooking some of the downtown buildings.,0:36:07,0:36:15,8,70,Success,
Machine Learning Extracted Event,She hands him a pen.,0:37:26,0:37:31,5,20,Success,
Machine Learning Extracted Event,He rolls up her sleeve.,0:37:47,0:37:52,5,23,Success,
Machine Learning Extracted Event,He draws on the inside of her wrist.,0:37:57,0:38:03,6,36,Success,
Machine Learning Extracted Event,He creates a detailed skyline on the inside of her forearm.,0:38:05,0:38:12,7,59,Success,
Machine Learning Extracted Event,Day 109.,0:38:15,0:38:20,5,8,Success,
Machine Learning Extracted Event,It's evening.,0:38:16,0:38:21,5,13,Success,
Machine Learning Extracted Event,SOMEONE and SOMEONE arrive at SOMEONE's place.,0:38:17,0:38:23,6,46,Success,
Machine Learning Extracted Event,"SOMEONE closes the front door and walks slowly into the apartment with patterned wallpaper,",0:38:24,0:38:31,7,91,Success,
Machine Learning Extracted Event,"boxes still unpacked,",0:38:27,0:38:32,5,21,Success,
Machine Learning Extracted Event,pictures and books resting on the mantelpiece and on the floor.,0:38:29,0:38:35,6,63,Success,
Machine Learning Extracted Event,"Lying on the bed,",0:40:26,0:40:31,5,17,Success,
Machine Learning Extracted Event,SOMEONE studies her.,0:40:27,0:40:32,5,20,Success,
Machine Learning Extracted Event,SOMEONE challenges his friends who can't meet his eye.,0:41:18,0:41:25,7,54,Success,
Machine Learning Extracted Event,Day 118.,0:41:22,0:41:27,5,8,Success,
Machine Learning Extracted Event,SOMEONE's amazed by SOMEONE's stories.,0:42:16,0:42:22,6,38,Success,
Machine Learning Extracted Event,SOMEONE's little sister runs of to join her football team on the pitch.,0:42:25,0:42:32,7,71,Fail,
Machine Learning Extracted Event,SOMEONE remains sitting thoughtfully on the bleachers.,0:42:29,0:42:35,6,54,Fail,
Machine Learning Extracted Event,SOMEONE and SOMEONE drive through the city in SOMEONE's aging 3 Series BMW.,0:42:35,0:42:42,7,75,Fail,
Machine Learning Extracted Event,She nuzzles his arm and he grins.,0:43:17,0:43:23,6,33,Fail,
Machine Learning Extracted Event,They smile happily and she studies him as they drive.,0:43:21,0:43:26,5,53,Fail,
Machine Learning Extracted Event,They have fun chatting as they drive through the sunny city.,0:43:32,0:43:38,6,60,Fail,
Machine Learning Extracted Event,They drive into a tunnel.,0:43:41,0:43:46,5,25,Fail,
Machine Learning Extracted Event,Day 259.,0:43:47,0:43:52,5,8,Fail,
Machine Learning Extracted Event,They're in a cocktail bar.,0:44:05,0:44:10,5,26,Fail,
Machine Learning Extracted Event,A suit makes a beeline for SOMEONE.,0:44:14,0:44:20,6,35,Fail,
Machine Learning Extracted Event,She calmly sips her cocktail.,0:44:56,0:45:02,6,29,Success,
Machine Learning Extracted Event,The big guy challenges SOMEONE who eyes him with calm distaste and sips his drink.,0:45:02,0:45:09,7,82,Success,
Machine Learning Extracted Event,The guy wanders off.,0:45:09,0:45:14,5,20,Success,
Machine Learning Extracted Event,SOMEONE floors him with a right hook. The guy responds.,0:45:18,0:45:24,6,55,Success,
Machine Learning Extracted Event,SOMEONE's not happy.,0:45:39,0:45:44,5,20,Success,
Machine Learning Extracted Event,"With an ice pack to his cheek, SOMEONE doesn't know what to say.",0:46:12,0:46:17,5,64,Success,
Machine Learning Extracted Event,He turns away from her and heads for the front door.,0:46:19,0:46:24,5,52,Success,
