ExtractionType,EventDescription,Start,End,Duration(s),Text_length,Aligned,EventType
Machine Learning Extracted Event,"SOMEONE grins and follows SOMEONE outside into an alley. Wearing shorts, he briefly hugs himself then hops around and faces his warmly dressed friend. SOMEONE leans against him.",0:26:36,0:26:48,12,177,Success,
Machine Learning Extracted Event,We flash to the deposition.,0:27:18,0:27:23,5,27,Success,
Machine Learning Extracted Event,Back in the present.,0:28:04,0:28:10,6,20,Fail,
Machine Learning Extracted Event,SOMEONE's lawyer smirks and SOMEONE blinks incredulously. In the flashback.,0:28:53,0:29:02,9,75,Fail,
Machine Learning Extracted Event,"In another deposition, SOMEONE and his lawyer share a table.",0:28:59,0:29:07,8,60,Fail,
Machine Learning Extracted Event,"twins, SOMEONE, and their attorney.",0:29:03,0:29:09,6,35,Fail,
Machine Learning Extracted Event,Flashback show time passing.,0:30:15,0:30:21,6,28,Fail,
Machine Learning Extracted Event,With SOMEONE and the twins.,0:30:58,0:31:04,6,27,Fail,
Machine Learning Extracted Event,In SOMEONE's room.,0:31:03,0:31:08,5,18,Fail,
Machine Learning Extracted Event,"A call on his cellphone. An envelope slides under the bottom of his door. SOMEONE sits down his things, scoots away from his desk and stands. He treads toward the envelope then hesitates. The young man picks it up and stares at his name on the front, then flips it over and finds a wax seal over the flap. He touches his forehead and pumps a fist. Spinning around, he takes a seat and opens it. Now in his room, SOMEONE works. Several dry erase boards with notes and plans on them stand around him.",0:31:07,0:31:36,29,498,Fail,
Machine Learning Extracted Event,"SOMEONE bites his lips, then looks up resolutely.",0:31:48,0:31:55,7,49,Fail,
Machine Learning Extracted Event,Drops his gaze then smiles and swings his arms.,0:31:53,0:32:00,7,47,Fail,
Machine Learning Extracted Event,He shows the envelope.,0:31:59,0:32:04,5,22,Fail,
Machine Learning Extracted Event,SOMEONE blinks and gives a wounded nod. SOMEONE takes a seat at his desk and focuses on his work.,0:32:07,0:32:16,9,97,Fail,
Machine Learning Extracted Event,"In a flashback. SOMEONE shows the twins an e-mail. Now, Phoenix pledges stand in the cold.",0:32:39,0:32:48,9,90,Fail,
Machine Learning Extracted Event,A guy strips in the snow.,0:33:01,0:33:06,5,25,Fail,
Machine Learning Extracted Event,A pledge pukes. Back in the deposition with the twin's attorney.,0:33:19,0:33:27,8,64,Fail,
Machine Learning Extracted Event,SOMEONE takes notes on a page covered in doodles. In a flashback.,0:33:48,0:33:56,8,65,Fail,
Machine Learning Extracted Event,SOMEONE checks his cell.,0:33:53,0:33:59,6,24,Fail,
Machine Learning Extracted Event,Back in the twins deposition.,0:34:07,0:34:12,5,29,Fail,
Machine Learning Extracted Event,"In a flashback, SOMEONE joins SOMEONE in a computer lab.",0:34:54,0:35:01,7,56,Fail,
Machine Learning Extracted Event,SOMEONE stares blankly.,0:35:05,0:35:11,6,23,Fail,
Machine Learning Extracted Event,SOMEONE's jaw drops. He hits escape on the computer and grabs his bag.,0:35:20,0:35:28,8,70,Fail,
Machine Learning Extracted Event,Leaving SOMEONE with a puzzled look. SOMEONE jogs downstairs.,0:35:29,0:35:36,7,61,Fail,
Machine Learning Extracted Event,Shoves the door open and darts out.,0:35:33,0:35:38,5,35,Fail,
Machine Learning Extracted Event,He high steps through the thick snow on the ground and runs onward.,0:35:37,0:35:43,6,67,Fail,
Machine Learning Extracted Event,"Now, SOMEONE hurries down a dorm corridor, clutching the strap of his backpack. He trots upstairs.",0:35:40,0:35:50,10,98,Fail,
Machine Learning Extracted Event,SOMEONE follows SOMEONE in. The programmer plops down before his computer and types frantically. He pauses thoughtfully then continues. SOMEONE peeks at his work.,0:36:00,0:36:12,12,162,Fail,
Machine Learning Extracted Event,SOMEONE glances solemnly at his friend.,0:36:56,0:37:02,6,39,Fail,
Machine Learning Extracted Event,"SOMEONE backs away, scratching his brow.",0:37:11,0:37:18,7,40,Fail,
Machine Learning Extracted Event,SOMEONE takes out his cell.,0:37:27,0:37:33,6,27,Fail,
Machine Learning Extracted Event,"On the bed behind him, SOMEONE glances at his cell. Then watches his friend.",0:37:45,0:37:53,8,76,Fail,
Machine Learning Extracted Event,SOMEONE rocks forward.,0:37:58,0:38:03,5,22,Fail,
Machine Learning Extracted Event,He rocks backward.,0:38:00,0:38:06,6,18,Fail,
Machine Learning Extracted Event,Now in a dining hall.,0:38:06,0:38:12,6,21,Fail,
Machine Learning Extracted Event,A woman sitting beside SOMEONE uses her laptop.,0:38:28,0:38:34,6,47,Fail,
Machine Learning Extracted Event,SOMEONE looks over at it then grabs her computer.,0:38:46,0:38:53,7,49,Success,
Machine Learning Extracted Event,He puts on his jacket.,0:39:09,0:39:13,4,22,Success,
Machine Learning Extracted Event,"Outside, he hurries upstairs and jogs across a shadowy bridge. Now, SOMEONE hurries into a boathouse where SOMEONE and Tyler practice in a stationary rowing tank.",0:39:10,0:39:23,13,162,Success,
Machine Learning Extracted Event,Tyler smacks his oar. Now in Porcellian Club.,0:39:42,0:39:50,8,45,Fail,
Machine Learning Extracted Event,At the other deposition.,0:43:52,0:43:57,5,24,Fail,
Machine Learning Extracted Event,"His fist closed, SOMEONE shakes his head. Nighttime. We descend the facade of an academic building to the front steps. In an auditorium.",0:44:26,0:44:36,10,136,Fail,
Machine Learning Extracted Event,"Forward and slowly looks up, then gazes at SOMEONE with an astonished expression.",0:45:36,0:45:43,7,81,Success,
Machine Learning Extracted Event,Later outside.,0:45:39,0:45:44,5,14,Success,
Machine Learning Extracted Event,SOMEONE waves.,0:46:21,0:46:26,5,14,Fail,
Machine Learning Extracted Event,"They walk off, leaving the three admirers behind.",0:46:24,0:46:30,6,49,Fail,
Machine Learning Extracted Event,SOMEONE rubs his forehead.,0:48:26,0:48:31,5,26,Fail,
Machine Learning Extracted Event,Then faces SOMEONE.,0:48:30,0:48:35,5,19,Fail,
Machine Learning Extracted Event,The gray-haired attorney glances at SOMEONE's legal team.,0:50:27,0:50:33,6,57,Fail,
Machine Learning Extracted Event,SOMEONE gazes off.,0:50:32,0:50:37,5,18,Fail,
Machine Learning Extracted Event,At Kirkland House.,0:50:41,0:50:46,5,18,Fail,
Machine Learning Extracted Event,Now in a public bathroom.,0:50:53,0:50:59,6,25,Fail,
Machine Learning Extracted Event,SOMEONE eyes her body.,0:51:00,0:51:06,6,22,Fail,
Machine Learning Extracted Event,Accent the dark wood at the stall doors.,0:51:34,0:51:40,6,40,Fail,
Machine Learning Extracted Event,"Later, standing outside the bathroom, a happy SOMEONE glances at his friend. A guy approaches.",0:51:37,0:51:46,9,94,Fail,
Machine Learning Extracted Event,SOMEONE nods.,0:51:48,0:51:53,5,13,Fail,
Machine Learning Extracted Event,They share a grin and he goes off. SOMEONE's smile lingers.,0:51:50,0:51:58,8,59,Fail,
Machine Learning Extracted Event,They swap a grin.,0:51:56,0:52:01,5,17,Fail,
Machine Learning Extracted Event,She looks up then eyes him flatly.,0:52:14,0:52:20,6,34,Fail,
Machine Learning Extracted Event,SOMEONE looks on his friend's face.,0:52:54,0:52:59,5,35,Fail,
Machine Learning Extracted Event,SOMEONE glances aside.,0:53:34,0:53:40,6,22,Fail,
Machine Learning Extracted Event,"As SOMEONE walks out, SOMEONE faces the girls.",0:53:41,0:53:47,6,46,Fail,
Machine Learning Extracted Event,Now in their dorm suite.,0:53:44,0:53:49,5,24,Fail,
Machine Learning Extracted Event,"After lunch into the deposition room, where SOMEONE sits alone.",0:54:34,0:54:40,6,63,Fail,
Machine Learning Extracted Event,Seat at the table and crosses her legs. Then regards him sympathetically.,0:54:44,0:54:51,7,73,Fail,
Machine Learning Extracted Event,He glances at her. SOMEONE looks at Scans.,0:55:13,0:55:20,7,42,Fail,
Machine Learning Extracted Event,She faces her lunch. In a flashback.,0:55:36,0:55:42,6,36,Fail,
Machine Learning Extracted Event,crosses to a shelf and finds a book.,0:56:26,0:56:33,7,36,Fail,
Machine Learning Extracted Event,"Now, a young woman dangles her blonde hair.",0:56:56,0:57:02,6,43,Fail,
Machine Learning Extracted Event,He notes her Stanford panty shorts.,0:57:06,0:57:12,6,35,Fail,
Machine Learning Extracted Event,Furrows his brow then sets the computer on his lap.,0:59:11,0:59:18,7,51,Fail,
Machine Learning Extracted Event,the door then glances around.,0:59:26,0:59:31,5,29,Fail,
Machine Learning Extracted Event,The twins wait in the reception room.,1:00:15,1:00:20,5,37,Fail,
Machine Learning Extracted Event,"The twins get up, fix their coats.",1:00:32,1:00:37,5,34,Fail,
Machine Learning Extracted Event,Phone at his desk.,1:00:42,1:00:47,5,18,Fail,
Machine Learning Extracted Event,SOMEONE wears a hoodie.,1:04:45,1:04:50,5,23,Fail,
Machine Learning Extracted Event,SOMEONE sullenly looks up at the ad executive.,1:05:05,1:05:11,6,46,Fail,
Machine Learning Extracted Event,SOMEONE faces the door.,1:06:24,1:06:29,5,23,Fail,
Machine Learning Extracted Event,Tori serves another round of drinks.,1:07:09,1:07:15,6,36,Fail,
Machine Learning Extracted Event,"Looking away, SOMEONE shakes his head.",1:07:14,1:07:20,6,38,Fail,
Machine Learning Extracted Event,SOMEONE and SOMEONE smile.,1:08:57,1:09:03,6,26,Fail,
Machine Learning Extracted Event,SOMEONE shoots him a scolding pout. In the present.,1:10:06,1:10:13,7,51,Fail,
Machine Learning Extracted Event,Lifts his chin. SOMEONE eyes SOMEONE.,1:10:11,1:10:17,6,37,Fail,
Machine Learning Extracted Event,SOMEONE pauses on his way out.,1:11:00,1:11:06,6,30,Success,
Machine Learning Extracted Event,"As he goes, SOMEONE stares after him with an enthralled gaze.",1:11:08,1:11:14,6,61,Fail,
Machine Learning Extracted Event,"Breezes out, past the restaurant staff. SOMEONE drains a glass of brandy.",1:11:12,1:11:20,8,73,Fail,
Machine Learning Extracted Event,"Now in a taxicab, SOMEONE dozes on her boyfriend's shoulder.",1:11:18,1:11:25,7,60,Fail,
Machine Learning Extracted Event,SOMEONE wakes and sits up.,1:11:26,1:11:32,6,26,Fail,
Machine Learning Extracted Event,In the present.,1:11:41,1:11:46,5,15,Fail,
Machine Learning Extracted Event,SOMEONE reaches for SOMEONE.,1:12:31,1:12:36,5,28,Fail,
Machine Learning Extracted Event,"SOMEONE eyes SOMEONE, who shrugs sullenly.",1:14:40,1:14:46,6,42,Fail,
Machine Learning Extracted Event,"Across the room, SOMEONE's chicken turns its head inside its cage. Now the young CFO saunters down a hallway.",1:16:07,1:16:17,10,109,Fail,
Machine Learning Extracted Event,"at an intersection, he turns and follows the noise.",1:16:15,1:16:21,6,51,Fail,
Machine Learning Extracted Event,SOMEONE scribbles on a notepad.,1:17:58,1:18:04,6,31,Fail,
Machine Learning Extracted Event,In a backyard in California he ziplines.,1:18:29,1:18:35,6,40,Fail,
Machine Learning Extracted Event,"Going inside, SOMEONE tosses the camcorder down.",1:19:10,1:19:16,6,48,Fail,
Machine Learning Extracted Event,"Into a pixie light brunette, SOMEONE arrives at her side.",1:19:15,1:19:22,7,57,Fail,
Machine Learning Extracted Event,Then SOMEONE opens the fridge. SOMEONE and his girlfriend tread in.,1:19:46,1:19:53,7,67,Fail,
Machine Learning Extracted Event,SOMEONE throws SOMEONE a beer. SOMEONE catches it and smacks the cap off on a chair.,1:19:51,1:19:58,7,84,Fail,
Machine Learning Extracted Event,Sharon one She flinches away.,1:19:57,1:20:03,6,29,Fail,
Machine Learning Extracted Event,SOMEONE throws another.,1:20:03,1:20:08,5,23,Fail,
Machine Learning Extracted Event,SOMEONE shakes his head and looks away. SOMEONE gives a wincing nod.,1:20:21,1:20:29,8,68,Fail,
Machine Learning Extracted Event,"Now in fast motion, the sun sets. As the sky darkens.",1:20:26,1:20:32,6,53,Fail,
Machine Learning Extracted Event,SOMEONE stares off at the dance floor.,1:20:53,1:20:59,6,38,Fail,
Machine Learning Extracted Event,Look over a verdant landscape with the river flowing through it.,1:24:27,1:24:33,6,64,Success,
Machine Learning Extracted Event,"Henley Royal Regatta, Henley-on-Thames. White tents line the shore and varied boats cruise the river passing under an arched bridge.",1:24:31,1:24:42,11,132,Success,
Machine Learning Extracted Event,As the oars rise.,1:25:20,1:25:24,4,17,Success,
Machine Learning Extracted Event,Pulling to show Hollandia barely in the lead. The Hollandia coxman and shouts into a headpiece microphone.,1:25:36,1:25:45,9,106,Success,
Machine Learning Extracted Event,Harvard's boat edges toward Hollandia's.,1:25:43,1:25:48,5,40,Success,
Machine Learning Extracted Event,Harvard's boat follows.,1:25:53,1:25:59,6,23,Success,
Machine Learning Extracted Event,SOMEONE sighs.,1:25:58,1:26:03,5,14,Success,
Machine Learning Extracted Event,The prince and his aide stride off.,1:26:49,1:26:55,6,35,Success,
Machine Learning Extracted Event,The three students swap looks.,1:27:33,1:27:39,6,30,Success,
Machine Learning Extracted Event,SOMEONE Steps away.,1:27:58,1:28:03,5,19,Fail,
Machine Learning Extracted Event,SOMEONE storms off into a step.,1:28:01,1:28:06,5,31,Fail,
Machine Learning Extracted Event,SOMEONE swaggers through the door. SOMEONE looks helplessly to SOMEONE who bows his head. His twin link.,1:28:42,1:28:51,9,104,Success,
Machine Learning Extracted Event,SOMEONE pumps his fist.,1:28:54,1:28:59,5,23,Success,
Machine Learning Extracted Event,SOMEONE uses a phone.,1:29:14,1:29:18,4,21,Success,
Machine Learning Extracted Event,"Holding the phone with his shoulder, he grabs some drinks.",1:29:20,1:29:26,6,58,Success,
Machine Learning Extracted Event,SOMEONE opens the door and finds SOMEONE outside in the rain.,1:29:38,1:29:46,8,61,Success,
Machine Learning Extracted Event,Six-foot bong. He rubs his eyes.,1:30:01,1:30:07,6,32,Success,
Machine Learning Extracted Event,SOMEONE hopples out sleepily and gives SOMEONE a playful smack.,1:30:34,1:30:42,8,63,Success,
Machine Learning Extracted Event,Sets down his bags. He shoots SOMEONE a glare then faces SOMEONE. The programmer uncomfortably lowers his half-eaten red licorice.,1:31:33,1:31:44,11,130,Fail,
Machine Learning Extracted Event,In a hallway.,1:31:51,1:31:56,5,13,Fail,
Machine Learning Extracted Event,SOMEONE clenches his jaw. SOMEONE calmly meets a stare.,1:33:10,1:33:17,7,55,Fail,
Machine Learning Extracted Event,SOMEONE strides up To a window in the bank.,1:33:19,1:33:24,5,43,Success,
Machine Learning Extracted Event,SOMEONE gazes off angrily.,1:33:32,1:33:37,5,26,Fail,
Machine Learning Extracted Event,"Now in a downtown high-rise, SOMEONE and SOMEONE sit in a waiting room.",1:33:34,1:33:40,6,71,Fail,
Machine Learning Extracted Event,Into an office.,1:33:56,1:34:00,4,15,Fail,
Machine Learning Extracted Event,Two businessmen face SOMEONE.,1:33:59,1:34:05,6,29,Fail,
Machine Learning Extracted Event,Haired businessman locks eyes with SOMEONE seriously. Nighttime. The lights of New York.,1:34:23,1:34:31,8,88,Fail,
Machine Learning Extracted Event,"In his apartment, SOMEONE lies asleep. A shadow passes through the light coming under it.",1:34:28,1:34:36,8,89,Fail,
Machine Learning Extracted Event,"At the side, SOMEONE sits up fearfully.",1:34:38,1:34:43,5,39,Fail,
Machine Learning Extracted Event,"The door swings open, revealing SOMEONE.",1:34:41,1:34:45,4,40,Fail,
Machine Learning Extracted Event,She folds her arms.,1:34:45,1:34:50,5,19,Fail,
Machine Learning Extracted Event,He roots through a bag.,1:35:11,1:35:16,5,23,Fail,
Machine Learning Extracted Event,She checks his cell.,1:35:54,1:35:59,5,20,Fail,
Machine Learning Extracted Event,SOMEONE lights her gift on fire.,1:36:39,1:36:45,6,32,Fail,
Machine Learning Extracted Event,SOMEONE aims a fire extinguisher.,1:37:00,1:37:05,5,33,Fail,
Machine Learning Extracted Event,"SOMEONE squeezes his eye shut, swallows, and shakes his head.",1:37:35,1:37:42,7,61,Fail,
Machine Learning Extracted Event,He freely snaps his phone shut.,1:37:45,1:37:50,5,31,Fail,
